@relation Latd5_sum

@attribute RCC1 numeric
@attribute RCC2 numeric
@attribute RCC3 numeric
@attribute RCC4 numeric
@attribute RCC5 numeric
@attribute RCC6 numeric
@attribute RCC7 numeric
@attribute RCC8 numeric
@attribute RCC9 numeric
@attribute RCC10 numeric
@attribute RCC11 numeric
@attribute RCC12 numeric
@attribute RCC13 numeric
@attribute RCC14 numeric
@attribute RCC15 numeric
@attribute RCC16 numeric
@attribute RCC17 numeric
@attribute RCC18 numeric
@attribute RCC19 numeric
@attribute RCC20 numeric
@attribute RCC21 numeric
@attribute RCC22 numeric
@attribute RCC23 numeric
@attribute RCC24 numeric
@attribute RCC25 numeric
@attribute RCC26 numeric
@attribute Class {P,N}

@data

11,62,15,1,14,8,26,10,0,0,0,0,0,2,39,0,0,0,0,0,0,0,0,0,0,0,N
3,0,0,28,20,0,2,2,20,35,31,5,17,6,14,7,37,49,26,30,69,6,5,9,33,9,N
0,0,0,1,2,1,3,0,15,18,4,1,2,0,17,15,65,31,31,17,16,2,1,2,0,2,N
10,58,26,1,35,39,37,16,0,0,0,7,5,7,24,0,0,0,0,1,1,1,0,1,0,1,N
9,39,22,2,17,17,12,9,0,0,0,0,0,1,39,0,0,0,0,0,0,0,0,0,0,0,N
12,36,17,1,17,20,3,10,0,0,0,0,0,7,43,0,0,0,0,0,0,0,0,0,0,0,N
0,0,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,N
0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,1,8,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,N
0,1,8,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,N
0,1,9,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,N
5,5,4,7,29,18,21,3,0,5,6,4,3,21,17,0,0,1,1,0,2,1,0,1,3,1,N
6,6,7,5,22,8,25,6,0,9,25,7,10,28,7,0,0,0,1,0,0,1,0,1,1,1,N
16,48,12,2,22,36,27,11,0,0,0,0,1,2,50,0,0,0,0,0,0,0,0,0,0,0,N
1,3,12,2,23,1,9,6,1,4,3,4,6,6,51,0,0,0,1,0,0,0,0,0,0,1,N
11,2,18,3,24,1,7,10,0,1,1,2,2,2,46,0,0,0,0,0,1,1,0,0,0,1,N
9,7,7,2,17,3,4,7,0,0,1,1,0,4,50,0,0,0,0,0,0,0,0,2,0,0,N
5,4,8,2,21,6,2,6,0,1,4,5,4,1,42,0,0,0,0,1,2,5,0,0,1,1,N
18,143,21,0,56,84,81,22,0,0,2,4,7,12,6,0,0,0,0,0,0,0,0,0,0,0,N
3,6,8,3,24,10,26,13,1,10,11,4,7,37,2,0,2,5,3,3,12,1,0,2,6,1,N
0,1,6,0,0,2,4,6,0,0,0,0,1,0,29,0,0,0,0,0,0,0,0,0,0,0,N
8,41,26,1,16,21,14,7,0,0,0,1,4,10,0,0,0,0,0,0,0,0,0,0,0,0,N
6,32,26,0,16,22,19,6,0,0,3,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0,N
8,31,27,1,13,21,19,7,0,0,2,3,5,8,0,0,0,0,0,0,0,0,0,0,0,0,N
3,9,22,4,13,10,30,8,0,4,11,6,5,29,0,0,0,0,1,0,6,1,0,1,11,0,N
8,60,27,2,15,43,29,12,0,0,0,3,0,4,10,0,0,0,0,0,0,0,0,0,0,0,N
12,63,26,2,7,47,21,11,0,0,0,2,2,7,16,0,0,0,0,0,0,0,0,0,0,0,N
7,10,6,0,7,3,6,5,0,0,0,0,1,1,62,0,0,0,0,0,0,0,0,0,0,0,N
1,4,3,0,12,0,0,3,0,3,1,1,9,1,57,0,1,1,3,3,5,12,2,2,0,0,N
3,0,2,0,5,0,2,3,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,N
34,63,50,2,44,38,42,26,0,0,1,1,2,14,84,0,0,0,0,0,0,0,0,0,0,0,N
30,10,34,8,76,5,58,16,0,10,27,8,16,61,93,0,0,0,1,0,6,1,1,2,10,4,N
26,50,39,3,39,32,38,19,0,0,1,3,1,9,86,0,0,0,0,0,1,0,0,4,3,2,N
