@relation Latd8_concat

@attribute RCC1 numeric
@attribute RCC2 numeric
@attribute RCC3 numeric
@attribute RCC4 numeric
@attribute RCC5 numeric
@attribute RCC6 numeric
@attribute RCC7 numeric
@attribute RCC8 numeric
@attribute RCC9 numeric
@attribute RCC10 numeric
@attribute RCC11 numeric
@attribute RCC12 numeric
@attribute RCC13 numeric
@attribute RCC14 numeric
@attribute RCC15 numeric
@attribute RCC16 numeric
@attribute RCC17 numeric
@attribute RCC18 numeric
@attribute RCC19 numeric
@attribute RCC20 numeric
@attribute RCC21 numeric
@attribute RCC22 numeric
@attribute RCC23 numeric
@attribute RCC24 numeric
@attribute RCC25 numeric
@attribute RCC26 numeric
@attribute RCC27 numeric
@attribute RCC28 numeric
@attribute RCC29 numeric
@attribute RCC30 numeric
@attribute RCC31 numeric
@attribute RCC32 numeric
@attribute RCC33 numeric
@attribute RCC34 numeric
@attribute RCC35 numeric
@attribute RCC36 numeric
@attribute RCC37 numeric
@attribute RCC38 numeric
@attribute RCC39 numeric
@attribute RCC40 numeric
@attribute RCC41 numeric
@attribute RCC42 numeric
@attribute RCC43 numeric
@attribute RCC44 numeric
@attribute RCC45 numeric
@attribute RCC46 numeric
@attribute RCC47 numeric
@attribute RCC48 numeric
@attribute RCC49 numeric
@attribute RCC50 numeric
@attribute RCC51 numeric
@attribute RCC52 numeric
@attribute Class {P,N}

@data

2,0,0,2,1,0,0,0,3,4,0,0,0,0,0,0,2,9,2,0,1,1,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,N
1,2,4,1,10,1,25,8,0,0,7,2,6,43,14,0,0,0,0,0,0,0,0,4,9,32,0,0,2,0,0,0,0,3,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,N
2,0,0,2,10,0,1,0,1,11,5,8,3,1,0,0,1,5,12,10,14,5,1,8,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,N
2,0,0,1,0,1,0,1,2,2,1,0,2,0,0,0,2,2,8,2,1,1,1,1,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,N
0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,N
0,0,3,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,N
0,1,0,2,1,0,0,0,2,1,4,2,1,1,0,0,1,6,3,6,7,2,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N
1,0,0,7,7,0,8,0,2,12,27,4,0,15,5,0,1,13,7,9,26,4,1,8,12,4,0,0,0,0,0,0,1,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,N
0,1,0,15,7,1,1,1,7,16,4,3,6,3,0,0,10,38,14,12,47,3,0,6,23,11,1,0,6,0,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N
0,0,0,0,0,0,0,0,2,9,1,1,3,0,0,0,3,5,12,4,7,3,1,3,0,8,0,0,1,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,N
1,0,0,2,2,0,1,0,0,3,3,1,5,0,1,0,11,4,11,4,4,4,1,1,0,4,0,0,5,0,0,0,1,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,N
0,0,0,4,1,0,0,1,2,11,1,0,4,0,0,2,12,3,12,2,6,2,2,2,0,2,0,0,0,0,0,0,2,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,1,2,N
0,0,0,0,1,0,0,0,1,5,2,0,4,0,0,0,5,6,2,6,5,2,0,4,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,N
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,8,0,4,1,2,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,1,2,2,0,0,0,0,N
0,0,0,0,0,0,0,1,1,3,2,2,1,0,2,0,4,3,3,2,4,1,0,4,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,1,0,1,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,10,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
5,0,0,3,3,0,3,4,0,6,5,3,6,5,3,1,3,11,1,6,13,2,0,6,15,2,1,0,10,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,N
2,0,0,3,8,0,0,2,2,7,7,6,1,5,2,0,2,11,6,6,17,1,2,7,13,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
6,0,0,2,4,1,1,5,3,1,5,5,1,2,2,0,1,9,2,10,23,4,0,8,20,2,0,0,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,N
1,1,0,1,1,1,6,4,2,3,3,8,4,5,1,0,4,9,5,9,14,2,0,5,16,1,0,0,1,0,0,0,1,4,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,2,N
6,0,0,4,4,1,1,7,1,2,8,6,1,5,1,0,1,9,3,7,20,5,0,6,17,2,1,2,1,0,1,0,1,2,0,0,1,0,0,0,1,0,0,1,0,1,1,2,0,0,1,0,N
2,0,0,10,11,0,11,0,7,35,33,7,6,10,0,1,7,38,9,17,63,9,0,7,37,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,N
2,0,0,13,9,0,12,0,10,17,24,5,1,10,1,2,5,45,11,10,59,9,2,11,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,N
17,4,0,66,83,2,11,6,43,198,99,38,77,28,11,6,104,142,143,89,230,41,21,25,51,85,0,0,5,0,0,0,0,0,0,0,1,3,0,3,1,0,0,0,0,0,0,1,0,0,0,3,N
0,0,0,0,0,0,0,0,5,15,4,2,11,1,1,0,4,3,14,4,8,2,2,1,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,6,1,N
0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,2,0,0,0,1,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,N
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,N
0,0,0,0,1,0,0,0,0,2,2,2,3,0,1,0,1,11,10,8,2,2,1,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,N
3,0,1,31,19,1,5,2,13,68,50,15,28,4,4,4,27,35,43,36,77,27,5,17,9,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,6,2,N
2,2,1,29,20,1,7,4,7,50,36,17,22,8,3,4,31,39,53,44,66,25,8,21,12,24,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N
2,1,1,19,16,2,1,3,9,67,34,15,24,11,4,4,22,29,26,32,65,16,4,14,10,21,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,4,3,2,N
7,1,0,31,22,1,3,0,12,52,49,17,27,7,4,2,18,34,39,38,71,20,2,13,7,18,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,N
1,1,0,18,15,0,4,2,11,74,38,17,24,4,0,3,29,44,35,43,62,27,5,10,13,15,0,0,2,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,N
0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,N
5,1,0,13,18,0,9,0,4,19,20,12,17,6,3,0,0,6,4,9,27,3,1,4,14,18,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
36,3,1,75,89,6,40,13,25,106,128,49,77,44,20,2,20,85,57,62,138,39,12,38,62,81,0,0,0,0,2,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
19,5,5,63,107,2,30,12,38,116,128,49,80,37,23,0,19,95,69,64,130,40,15,37,69,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5,N
4,2,0,25,34,0,5,4,7,67,17,4,35,3,3,1,12,16,25,22,33,11,6,0,2,33,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,N
1,1,0,4,4,0,2,0,1,12,8,6,8,1,2,0,6,3,4,5,13,5,1,0,2,5,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,2,N
3,0,0,14,22,0,5,1,16,56,18,5,28,1,3,2,21,21,26,19,38,7,6,2,3,26,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,7,N
2,1,0,15,23,0,2,3,8,39,20,2,25,0,2,1,18,11,28,15,29,9,7,2,1,34,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,N
5,0,0,9,17,1,2,1,8,47,17,5,30,1,4,1,20,18,28,17,33,6,6,1,0,29,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,5,N
1,0,0,18,21,0,3,2,12,51,19,6,39,3,4,0,14,14,33,20,37,6,6,1,2,31,0,0,2,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,N
2,1,2,26,14,0,3,0,10,48,33,5,16,2,1,3,37,35,28,19,54,7,3,9,13,10,1,0,1,0,0,0,2,4,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,1,1,N
3,1,1,17,21,0,2,0,7,42,30,6,19,3,2,5,34,31,28,21,49,7,2,5,6,11,0,0,0,0,1,0,0,5,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,N
4,1,2,17,20,1,4,0,7,50,34,6,22,4,5,5,33,33,33,21,46,4,3,4,11,8,0,0,0,0,0,0,1,0,0,0,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,1,N
3,4,2,21,20,0,4,0,6,46,30,7,19,2,2,6,34,33,34,17,59,7,3,5,17,15,0,0,2,0,0,0,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,N
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,4,0,0,0,2,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,N
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,1,0,2,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,N
