@relation NoLatd5_sum

@attribute RCC1 numeric
@attribute RCC2 numeric
@attribute RCC3 numeric
@attribute RCC4 numeric
@attribute RCC5 numeric
@attribute RCC6 numeric
@attribute RCC7 numeric
@attribute RCC8 numeric
@attribute RCC9 numeric
@attribute RCC10 numeric
@attribute RCC11 numeric
@attribute RCC12 numeric
@attribute RCC13 numeric
@attribute RCC14 numeric
@attribute RCC15 numeric
@attribute RCC16 numeric
@attribute RCC17 numeric
@attribute RCC18 numeric
@attribute RCC19 numeric
@attribute RCC20 numeric
@attribute RCC21 numeric
@attribute RCC22 numeric
@attribute RCC23 numeric
@attribute RCC24 numeric
@attribute RCC25 numeric
@attribute RCC26 numeric
@attribute Class {P,N}

@data

1,0,10,2,4,0,1,0,1,7,5,3,6,4,0,0,4,5,10,7,9,7,3,2,1,6,N
1,0,1,4,2,0,2,0,16,23,2,1,4,0,10,18,37,17,26,9,16,3,2,5,1,1,N
25,88,15,6,50,55,59,15,1,1,4,3,1,12,98,0,0,0,0,0,1,0,0,0,0,5,N
0,1,17,0,0,0,2,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,N
3,3,33,0,1,6,31,5,0,0,0,2,0,9,6,0,0,0,0,0,0,0,0,0,1,6,N
3,2,33,0,4,7,38,7,0,0,0,4,0,11,3,0,0,0,0,0,0,0,0,0,4,7,N
2,0,12,0,2,0,1,2,1,8,4,3,6,3,1,0,2,15,4,12,17,4,5,18,4,8,N
1,1,11,2,2,1,2,15,0,0,0,0,1,2,14,0,0,0,0,0,0,0,0,0,0,35,N
1,5,24,0,4,0,6,5,0,0,0,4,3,2,9,0,0,0,0,0,0,0,0,0,0,38,N
0,0,0,2,3,0,0,4,3,5,3,0,0,0,8,0,3,0,2,2,2,4,0,1,1,1,N
0,0,3,0,0,0,0,8,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,14,N
1,0,15,0,0,0,0,0,1,3,0,0,0,0,3,0,2,2,2,0,0,3,0,1,0,3,N
9,4,25,0,6,3,38,15,0,0,6,5,1,36,3,0,0,0,0,0,0,0,0,0,13,0,N
0,0,9,0,1,2,12,5,0,0,0,0,0,6,35,0,0,0,0,0,0,0,0,0,1,17,N
13,6,9,1,15,4,18,22,1,9,24,23,25,35,28,0,0,3,2,9,11,10,1,27,21,35,N
13,11,78,0,8,6,54,14,0,0,1,1,0,22,67,0,0,0,0,0,0,0,0,0,1,22,N
8,8,76,0,9,7,57,19,0,0,1,1,0,28,60,0,0,0,0,0,0,0,0,0,1,21,N
14,11,13,2,21,1,16,22,0,12,36,24,15,40,14,0,0,4,5,10,15,12,3,26,25,35,N
1,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,N
0,0,16,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,N
10,19,179,0,10,22,152,47,0,0,3,5,1,47,203,0,0,0,0,0,0,0,0,0,2,36,N
2,1,32,0,2,0,8,11,0,0,0,0,0,4,83,0,0,0,0,0,0,0,0,0,1,50,N
1,1,36,0,2,0,7,7,0,0,0,0,0,7,80,0,0,0,0,0,0,0,0,0,0,55,N
